Starting_Logical_Site_Name,logical_site_name,ob_product_name,ib_product_name,Vendor,ib_threadname,ib_datatype,ib_product_mnem,ib_vendor_mnem,ib_vendor_name,ib_thread_type,ib_name_suffix,ib_thread_ip,ib_thread_port,trxid,ob_threadname,ob_datatype,ob_product_mnem,ob_vendor_mnem,ob_vendor_name,ob_thread_type,ob_name_suffix,ob_thread_ip,ob_thread_port,route_length
div_efl_ipl3_nuras,hsc_opk0_360e_nuras,360 Encompass,iPeople MT56,360 Encompass,nuras_ipl_in_cocxgotr,nuras,ipl,ippl,iPeople,in,cocxgotr,,16050,*default*,nuras_360e_out_preprod_2,nuras,360e,3m,3M,out,preprod_2,10.237.100.118,8960,4
div_efl_ipl3_pha,div_efl_ipl3_pha,360 Encompass,iPeople MT56,360 Encompass,phaadm_ipl_in_cocxg,phaadm,ipl,ippl,iPeople,in,cocxg,,10380,*default*,phaadm_360e_out_hscopk0360epha_cocxg,phaadm,360e,3m,3M,out,hscopk0360epha_cocxg,orclvp01.unix.medcity.net,15931,6
div_efl_ipl3_pha,hsc_opk0_360e_pha,360 Encompass,iPeople MT56,360 Encompass,phaadm_ipl_in_cpcsxgpha,phaadm,ipl,ippl,iPeople,in,cpcsxgpha,,15931,*default*,phaadm_360e_out_2B,phaadm,360e,3m,3M,out,2B,orclvp01.unix.medcity.net,14861,6
div_efl_ipl3_pha,div_efl_ipl3_pha,360 Encompass,iPeople MT56,360 Encompass,phaadm_ipl_in_cocxg,phaadm,ipl,ippl,iPeople,in,cocxg,,10380,*default*,phaadm_360e_out_hscopk0360epha_cocxg,phaadm,360e,3m,3M,out,hscopk0360epha_cocxg,orclvp01.unix.medcity.net,15931,6
div_efl_ipl3_pha,hsc_opk0_360e_pha,360 Encompass,iPeople MT56,360 Encompass,phaadm_ipl_in_cpcsxgpha,phaadm,ipl,ippl,iPeople,in,cpcsxgpha,,15931,*default*,phaadm_360e_out_pp_2B,phaadm,360e,3m,3M,out,pp_2B,orclvp01.unix.medcity.net,15275,6
cpcs_xg_lab,cpcs_xg_lab,360 Encompass,HCA 5.6,360 Encompass,labrslt_mt_in,labrslt,mt,mt,Meditech,in,,,11565,*default*,labrslt_360e_out_hscopk0360elab,labrslt,360e,3m,3M,out,hscopk0360elab,orclvp01.unix.medcity.net,15876,4
cpcs_xg_lab,hsc_opk0_360e_lab,360 Encompass,HCA 5.6,360 Encompass,labrslt_mt_in_cpcsxglab,labrslt,mt,mt,Meditech,in,cpcsxglab,,15876,*default*,labrslt_360e_out_prod_2,labrslt,360e,3m,3M,out,prod_2,10.237.100.100,8970,4
cpcs_xg_lab,cpcs_xg_lab,360 Encompass,HCA 5.6,360 Encompass,labrslt_mt_in,labrslt,mt,mt,Meditech,in,,,11565,*default*,labrslt_360e_out_hscopk0360elab,labrslt,360e,3m,3M,out,hscopk0360elab,orclvp01.unix.medcity.net,15876,4
cpcs_xg_lab,hsc_opk0_360e_lab,360 Encompass,HCA 5.6,360 Encompass,labrslt_mt_in_cpcsxglab,labrslt,mt,mt,Meditech,in,cpcsxglab,,15876,*default*,labrslt_360e_out_preprod_2,labrslt,360e,3m,3M,out,preprod_2,10.237.100.118,8970,4
cpcs_xg_oe,cpcs_xg_oe,360 Encompass,HCA 5.6,360 Encompass,oerpt_mt_in,oerpt,mt,mt,Meditech,in,,,11566,*default*,oerpt_360e_out_hscopk0360eoe,oerpt,360e,3m,3M,out,hscopk0360eoe,orclvp01.unix.medcity.net,15903,6
