Starting_Logical_Site_Name,logical_site_name,ob_product_name,ib_product_name,Vendor,ib_threadname,ib_datatype,ib_product_mnem,ib_vendor_mnem,ib_vendor_name,ib_thread_type,ib_name_suffix,ib_thread_ip,ib_thread_port,trxid,ob_threadname,ob_datatype,ob_product_mnem,ob_vendor_mnem,ob_vendor_name,ob_thread_type,ob_name_suffix,ob_thread_ip,ob_thread_port,route_length
cpcs_at_oe,cpcs_at_oe,HCA 5.6,HCA 5.6,HCA 5.6,oerpt_mt_in,oerpt,mt,mt,Meditech,in,,,11546,*default*,oerpt_mt_out_divefliodn,oerpt,mt,mt,Meditech,out,divefliodn,orclvp01.unix.medcity.net,13663,6
cpcs_at_oe,div_efl_iodn_oe,Iodine-Facility,HCA 5.6,Iodine-Facility,oerpt_mt_in_2,oerpt,mt,mt,Meditech,in,2,,17977,*default*,oerpt_iodn_out,oerpt,iodn,iodn,Iodine Software,out,,10.65.70.48,53916,6
cpcs_at_oe,cpcs_at_oe,HCA 5.6,HCA 5.6,HCA 5.6,oeord_mt_in,oeord,mt,mt,Meditech,in,,,10641,*default*,oeord_mt_out_divefliodn,oeord,mt,mt,Meditech,out,divefliodn,orclvp01.unix.medcity.net,13662,6
cpcs_at_oe,div_efl_iodn_oe,Iodine-Facility,HCA 5.6,Iodine-Facility,oeord_mt_in_2,oeord,mt,mt,Meditech,in,2,,17992,*default*,oeord_iodn_out,oeord,iodn,iodn,Iodine Software,out,,10.65.70.48,53914,6
cpcs_at_pha,cpcs_at_pha,HCA 5.6,HCA 5.6,HCA 5.6,phaord_mt_in,phaord,mt,mt,Meditech,in,,,10071,*default*,phaord_mt_out_divefliodn,phaord,mt,mt,Meditech,out,divefliodn,orclvp01.unix.medcity.net,13665,6
cpcs_at_pha,div_efl_iodn,Iodine-Facility,HCA 5.6,Iodine-Facility,phaord_mt_in_2,phaord,mt,mt,Meditech,in,2,,17987,*default*,phaord_iodn_out,phaord,iodn,iodn,Iodine Software,out,,10.65.70.48,53915,6
cpcs_at_rad,cpcs_at_rad,HCA 5.6,HCA 5.6,HCA 5.6,radord_mt_in,radord,mt,mt,Meditech,in,,,10580,*default*,radord_mt_out_divefliodnrad,radord,mt,mt,Meditech,out,divefliodnrad,orclvp01.unix.medcity.net,13666,6
cpcs_at_rad,div_efl_iodn_rad,Iodine-Facility,HCA 5.6,Iodine-Facility,radord_mt_in_2,radord,mt,mt,Meditech,in,2,,17979,*default*,radord_iodn_out,radord,iodn,iodn,Iodine Software,out,,10.65.70.48,53912,6
div_efl_ipl1,div_efl_ipl1,iPeople MT56,iPeople MT56,iPeople MT56,nuras_ipl_in_cocat,nuras,ipl,ippl,iPeople,in,cocat,,10288,*default*,nuras_ipl_out_divefliodnnuras_cocat,nuras,ipl,ippl,iPeople,out,divefliodnnuras_cocat,orclvp01.unix.medcity.net,13661,6
hsc_tam0_epdf_pk,hsc_tam0_epdf_pk,HCA 5.6,Portal,Portal,oerpt_pkp_in_FLE,oerpt,pkp,ptkpr,Patient Keeper,in,FLE,,10182,COCAT,oerpt_mt_out_cpcsat,oerpt,mt,mt,Meditech,out,cpcsat,orclvp01.unix.medcity.net,13852,6
cpcs_at_oe,cpcs_at_oe,HCA 5.6,DocEP,DocEP,oerpt_dcep_in,oerpt,dcep,mmdl,AQuity Solutions,in,,,14136,*default*,oerpt_mt_out,oerpt,mt,mt,Meditech,out,,,12801,2
cpcs_at_oe,cpcs_at_oe,EIS Biztalk Platform,iPeople MT56,EIS Biztalk Platform,oeord_ipl_in,oeord,ipl,ippl,iPeople,in,,,14195,*default*,oeord_bti_out,oeord,bti,hcaeis,HCA D&IS,out,,xrdcwpintbzt18a.hca.corpad.net,35006,2
cpcs_at_oe,cpcs_at_oe,MD - CMORE,MD - CMORE,MD - CMORE to MD - CMORE,oerpt_cmre_in,oerpt,cmre,prvtn,Provation,in,,,13190,*default*,img_cmre_out_hsctam0epdf,img,cmre,prvtn,Provation,out,hsctam0epdf,orclvp02.unix.medcity.net,10231,4
cpcs_at_oe,hsc_tam0_epdf,MPF-Patient Folder/HPF Facility,MD - CMORE,MD - CMORE to MPF-Patient Folder/HPF Facility,img_cmre_in_cpcsatoe,img,cmre,prvtn,Provation,in,cpcsatoe,,10231,*default*,multi_hpf_out,multi,hpf,mcksn,McKesson,out,,ORDCWPAPPHPF11A.hca.corpad.net,9018,4
cpcs_at_adt,cpcs_at_adt,Wound Care,HCA 5.6,Wound Care,adt_mt_in_5,adt,mt,mt,Meditech,in,5,,15274,*default*,adt_wexp_out,adt,wexp,nthl,Net Health,out,,10.65.66.89,45521,4
cpcs_at_adt,cpcs_at_adt,DocEP,HCA 5.6,DocEP,adt_mt_in_5,adt,mt,mt,Meditech,in,5,,15274,*default*,adt_dcep_out,adt,dcep,mmdl,AQuity Solutions,out,,10.227.120.147,12255,4
cpcs_at_adt,cpcs_at_adt,Primordial,HCA 5.6,Primordial,adt_mt_in_5,adt,mt,mt,Meditech,in,5,,15274,*default*,adt_prim_out,adt,prim,nunc,Nuance,out,,10.132.172.11,3368,4
cpcs_at_adt,cpcs_at_adt,imobile,HCA 5.6,imobile,adt_mt_in_5,adt,mt,mt,Meditech,in,5,,15274,*default*,adt_imob_out,adt,imob,mblhrt,Mobile Heartbeat,out,,10.227.64.45,20002,4
