Starting_Logical_Site_Name,logical_site_name,ob_product_name,ib_product_name,Vendor,ib_threadname,ib_datatype,ib_product_mnem,ib_vendor_mnem,ib_vendor_name,ib_thread_type,ib_name_suffix,ib_thread_ip,ib_thread_port,trxid,ob_threadname,ob_datatype,ob_product_mnem,ob_vendor_mnem,ob_vendor_name,ob_thread_type,ob_name_suffix,ob_thread_ip,ob_thread_port,route_length
cpcs_mhb_lab,div_efl_dbmo_lab,Cloudera Kafka,HCA 5.6,Cloudera Kafka,labrslt_mt_in_cpcsmhblab,labrslt,mt,mt,Meditech,in,cpcsmhblab,,14809,*default*,labrslt_kfka_out_hl7dbmnclilab,labrslt,kfka,hca,HCA,out,hl7dbmnclilab,intserv.cloverleaf.hl7-dbmo-oru-lab.1.0.0,,4
cpcs_mhb_lab,cpcs_mhb_lab,db Motion,HCA 5.6,db Motion,labrslt_mt_in,labrslt,mt,mt,Meditech,in,,,13641,*default*,labrslt_dbmo_out_divefldbmolab,labrslt,dbmo,dbmo,dbMotion,out,divefldbmolab,orclvp01.unix.medcity.net,14809,4
cpcs_mhb_lab,div_efl_dbmo_lab,Cloudera Kafka,HCA 5.6,Cloudera Kafka,pthrslt_mt_in_cpcsmhblab,pthrslt,mt,mt,Meditech,in,cpcsmhblab,,14851,*default*,pthrslt_kfka_out_hl7dbmnclipth,pthrslt,kfka,hca,HCA,out,hl7dbmnclipth,intserv.cloverleaf.hl7-dbmo-oru-path.1.0.0,.1.0.0,4
cpcs_mhb_lab,cpcs_mhb_lab,db Motion,HCA 5.6,db Motion,pthrslt_mt_in,pthrslt,mt,mt,Meditech,in,,,13906,*default*,pthrslt_dbmo_out_divefldbmolab,pthrslt,dbmo,dbmo,dbMotion,out,divefldbmolab,orclvp01.unix.medcity.net,14851,4
cpcs_mhb_pha,div_efl_dbmo_pha,Cloudera Kafka,HCA 5.6,Cloudera Kafka,phaord_mt_in_cpcsmhbpha,phaord,mt,mt,Meditech,in,cpcsmhbpha,,14852,*default*,phaord_kfka_out_hl7dbmncliphaord,phaord,kfka,hca,HCA,out,hl7dbmncliphaord,intserv.cloverleaf.hl7-dbmo-rde.1.0.0,,4
cpcs_mhb_pha,cpcs_mhb_pha,db Motion,HCA 5.6,db Motion,phaord_mt_in,phaord,mt,mt,Meditech,in,,,13562,*default*,phaord_dbmo_out_divefldbmopha,phaord,dbmo,dbmo,dbMotion,out,divefldbmopha,orclvp01.unix.medcity.net,14852,4
cpcs_mhb_oe,div_efl_dbmo_idm,Cloudera Kafka,HCA 5.6,Cloudera Kafka,oerpt_mt_in_cpcsmhboe,oerpt,mt,mt,Meditech,in,cpcsmhboe,,14973,*default*,oerpt_kfka_out_hl7dmncclimdmdi,oerpt,kfka,hca,HCA,out,hl7dmncclimdmdi,intserv.cloverleaf.hl7-dbmo-mdm.1.0.0,,4
cpcs_mhb_oe,cpcs_mhb_oe,db Motion,HCA 5.6,db Motion,oerpt_mt_in,oerpt,mt,mt,Meditech,in,,,13709,*default*,oerpt_dbmo_out_divefldbmoidm,oerpt,dbmo,dbmo,dbMotion,out,divefldbmoidm,orclvp01.unix.medcity.net,14973,4
cpcs_mhb_rad,div_efl_dbmo_idm,Cloudera Kafka,HCA 5.6,Cloudera Kafka,radord_mt_in_cpcsmhbrad,radord,mt,mt,Meditech,in,cpcsmhbrad,,14978,*default*,itsdio_kfka_out_hl7dbmncliorm,itsdio,kfka,hca,HCA,out,hl7dbmncliorm,intserv.cloverleaf.hl7-dbmo-orm.1.0.0,,4
cpcs_mhb_rad,cpcs_mhb_rad,db Motion,HCA 5.6,db Motion,radord_mt_in,radord,mt,mt,Meditech,in,,,13721,*default*,radord_dbmo_out_divefldbmoidm,radord,dbmo,dbmo,dbMotion,out,divefldbmoidm,orclvp01.unix.medcity.net,14978,4
cpcs_mhb_iplmu,div_efl_dbmo_otr,Cloudera Kafka,HCA 5.6,Cloudera Kafka,immu_mt_in_cpcsmhbiplmu,immu,mt,mt,Meditech,in,cpcsmhbiplmu,,14985,*default*,immu_kfka_out_hl7dbmncliimmu,immu,kfka,hca,HCA,out,hl7dbmncliimmu,intserv.cloverleaf.hl7-dbmo-vxu.1.0.0,,4
cpcs_mhb_iplmu,cpcs_mhb_iplmu,db Motion,HCA 5.6,db Motion,immu_mt_in,immu,mt,mt,Meditech,in,,,10922,*default*,immu_dbmo_out_divefldbmootr,immu,dbmo,dbmo,dbMotion,out,divefldbmootr,orclvp01.unix.medcity.net,14985,4
div_efl_ipl1_edm,div_efl_dbmo_otr,Cloudera Kafka,iPeople MT56,Cloudera Kafka,edm_ipl_in_diveflipl1edm_cocmhb,edm,ipl,ippl,iPeople,in,diveflipl1edm_cocmhb,,14983,*default*,edm_kfka_out_hl7dbmncliedm,edm,kfka,hca,HCA,out,hl7dbmncliedm,intserv.cloverleaf.hl7-dbmo-edm.1.0.0,,4
div_efl_ipl1_edm,div_efl_ipl1_edm,db Motion,iPeople MT56,db Motion,edm_ipl_in_cocmhb,edm,ipl,ippl,iPeople,in,cocmhb,,10272,*default*,edm_dbmo_out_divefldbmootr_cocmhb,edm,dbmo,dbmo,dbMotion,out,divefldbmootr_cocmhb,orclvp01.unix.medcity.net,14983,4
