Starting_Logical_Site_Name,logical_site_name,ob_product_name,ib_product_name,Vendor,ib_threadname,ib_datatype,ib_product_mnem,ib_vendor_mnem,ib_vendor_name,ib_thread_type,ib_name_suffix,ib_thread_ip,ib_thread_port,trxid,ob_threadname,ob_datatype,ob_product_mnem,ob_vendor_mnem,ob_vendor_name,ob_thread_type,ob_name_suffix,ob_thread_ip,ob_thread_port,route_length
cpcs_cl_otr,cpcs_cl_otr,HCA 5.6,iPeople,HCA 5.6,edm_ipl_in,edm,ipl,ippl,iPeople,in,,,12477,*default*,edm_mt_out_divgcdgcie,edm,mt,mt,Meditech,out,divgcdgcie,gcaclvp01.unix.medcity.net,14909,4
cpcs_cl_otr,div_gcd_gcie_otr,GCD-HermeTech UltraPort,HCA 5.6,GCD-HermeTech UltraPort,nuras_mt_in_cpcscl,nuras,mt,mt,Meditech,in,cpcscl,,14945,*default*,nuras_gcie_out,nuras,gcie,gcd,HCA-GCD Division,out,,10.204.122.12,19020,4
cpcs_cl_otr,cpcs_cl_otr,HCA 5.6,iPeople,HCA 5.6,nuras_ipl_in,nuras,ipl,ippl,iPeople,in,,,12479,*default*,nuras_mt_out_divgcdgcie,nuras,mt,mt,Meditech,out,divgcdgcie,gcaclvp01.unix.medcity.net,14945,4
cpcs_cl_lab,div_gcd_gcie,GCD-HermeTech UltraPort,HCA 5.6,GCD-HermeTech UltraPort,labrslt_mt_in_cpcscl,labrslt,mt,mt,Meditech,in,cpcscl,,14897,*default*,labrslt_gcie_out,labrslt,gcie,gcd,HCA-GCD Division,out,,10.204.122.12,19001,4
cpcs_cl_lab,cpcs_cl_lab,HCA 5.6,HCA 5.6,HCA 5.6,labrslt_mt_in,labrslt,mt,mt,Meditech,in,,,10374,*default*,labrslt_mt_out_divgcdgcie,labrslt,mt,mt,Meditech,out,divgcdgcie,gcaclvp01.unix.medcity.net,14897,4
cpcs_cl_pha,div_gcd_gcie_pha,GCD-HermeTech UltraPort,HCA 5.6,GCD-HermeTech UltraPort,phaadm_mt_in_cpcscl,phaadm,mt,mt,Meditech,in,cpcscl,,14933,*default*,phaadm_gcie_out,phaadm,gcie,gcd,HCA-GCD Division,out,,10.204.122.12,19022,4
cpcs_cl_pha,cpcs_cl_pha,HCA 5.6,iPeople,HCA 5.6,phaadm_ipl_in,phaadm,ipl,ippl,iPeople,in,,,12480,*default*,phaadm_mt_out_divgcdgcie,phaadm,mt,mt,Meditech,out,divgcdgcie,gcaclvp01.unix.medcity.net,14933,4
cpcs_cl_pha,div_gcd_gcie_pha,GCD-HermeTech UltraPort,HCA 5.6,GCD-HermeTech UltraPort,phaord_mt_in_cpcscl,phaord,mt,mt,Meditech,in,cpcscl,,14957,*default*,phaord_gcie_out,phaord,gcie,gcd,HCA-GCD Division,out,,10.204.122.12,19017,4
cpcs_cl_pha,cpcs_cl_pha,HCA 5.6,HCA 5.6,HCA 5.6,phaord_mt_in,phaord,mt,mt,Meditech,in,,,12227,*default*,phaord_mt_out_divgcdgcie,phaord,mt,mt,Meditech,out,divgcdgcie,gcaclvp01.unix.medcity.net,14957,4
cpcs_cl_oe,cpcs_cl_oe,EIS Biztalk Platform,iPeople,EIS Biztalk Platform,oeord_ipl_in,oeord,ipl,ippl,iPeople,in,,,15417,*default*,oeord_bti_out,oeord,bti,hcaeis,HCA D&IS,out,,xrdcwpintbzt18a.hca.corpad.net,35023,2
cpcs_cl_lab,cpcs_cl_lab,EIS Biztalk Platform,HCA 5.6,EIS Biztalk Platform,pthrslt_mt_in,pthrslt,mt,mt,Meditech,in,,,15345,*default*,pthrslt_bti_out,pthrslt,bti,hcaeis,HCA D&IS,out,,xrdcwpintbzt17c.hca.corpad.net,15103,2
div_gcd_cmre,div_gcd_cmre,MD - CMORE,MD - CMORE,MD - CMORE to MD - CMORE,oerpt_cmre_in,oerpt,cmre,prvtn,Provation,in,,,15872,COCCL,oerpt_cmre_out_cpcscl,oerpt,cmre,prvtn,Provation,out,cpcscl,gcaclvp01.unix.medcity.net,16311,6
div_gcd_cmre,div_gcd_cmre,MD - CMORE,MD - CMORE,MD - CMORE to MD - CMORE,oerpt_cmre_in,oerpt,cmre,prvtn,Provation,in,,,15872,COCCL,oerpt_cmre_out_cpcscl,oerpt,cmre,prvtn,Provation,out,cpcscl,gcaclvp01.unix.medcity.net,16311,8
