Starting_Logical_Site_Name,logical_site_name,ob_product_name,ib_product_name,Vendor,ib_threadname,ib_datatype,ib_product_mnem,ib_vendor_mnem,ib_vendor_name,ib_thread_type,ib_name_suffix,ib_thread_ip,ib_thread_port,trxid,ob_threadname,ob_datatype,ob_product_mnem,ob_vendor_mnem,ob_vendor_name,ob_thread_type,ob_name_suffix,ob_thread_ip,ob_thread_port,route_length
cpcs_uh_adt,cpcs_uh_adt,HCA 5.6,HCA 5.6,HCA 5.6,adt_mt_in_5,adt,mt,mt,Meditech,in,5,,12268,*default*,adt_mt_out_hsctamomec,adt,mt,mt,Meditech,out,hsctamomec,orclvp02.unix.medcity.net,10223,8
cpcs_uh_adt,hsc_tam_omec,eCapture,HCA 5.6,eCapture,adt_mt_in_2,adt,mt,mt,Meditech,in,2,,10257,*default*,adt_omec_out_v76,adt,omec,para,HCA Parallon,out,v76,10.234.146.196,6000,8
cpcs_uh_adt,cpcs_uh_adt,HCA 5.6,HCA 5.6,HCA 5.6,adt_mt_in_5,adt,mt,mt,Meditech,in,5,,12268,*default*,adt_mt_out_hsctamomec,adt,mt,mt,Meditech,out,hsctamomec,orclvp02.unix.medcity.net,10223,8
cpcs_uh_adt,hsc_tam_omec,eCapture,HCA 5.6,eCapture,adt_mt_in_cmclin_2,adt,mt,mt,Meditech,in,cmclin_2,,10354,*default*,adt_omec_out_cmclin,adt,omec,para,HCA Parallon,out,cmclin,10.234.147.125,6000,8
cpcs_uh_oe,div_efl_dypv_oe,Dynamic PharmacoVigilance-Facility,HCA 5.6,Dynamic PharmacoVigilance-Facility,oeord_mt_in_cpcsuh,oeord,mt,mt,Meditech,in,cpcsuh,,12452,*default*,oeord_dypv_out,oeord,dypv,vglnz,VigiLanz Corp,out,,10.65.76.89,20087,4
cpcs_uh_oe,cpcs_uh_oe,HCA 5.6,HCA 5.6,HCA 5.6,oeord_mt_in,oeord,mt,mt,Meditech,in,,,11134,*default*,oeord_mt_out_divfefldypv,oeord,mt,mt,Meditech,out,divfefldypv,orclvp01.unix.medcity.net,12452,4
cpcs_uh_otr,cpcs_uh_otr,Null-Terminates Message,HCA 5.6,Null-Terminates Message,iti08_mt_in,iti08,mt,mt,Meditech,in,,,12477,*default*,iti08_null_out,iti08,null,hcaeis,HCA D&IS,out,,,,2
div_efl_conx,div_efl_conx,HCA 5.6,Connex CS,Connex CS,cmr_conx_in_2,cmr,conx,hillrwa,Hill-Rom/Welch Allyn,in,2,,13573,COCUH,cmr_mt_out_cpcsuh,cmr,mt,mt,Meditech,out,cpcsuh,orclvp01.unix.medcity.net,13231,4
div_efl_ipl3_nuras,div_efl_ipl3_nuras,iPeople MT56,iPeople MT56,iPeople MT56,nuras_ipl_in_cocuh,nuras,ipl,ippl,iPeople,in,cocuh,,10369,*default*,nuras_ipl_out_divefliodnnuras_cocuh,nuras,ipl,ippl,iPeople,out,divefliodnnuras_cocuh,orclvp01.unix.medcity.net,13777,4
div_efl_ipl3_nuras,div_efl_iodn_nuras,Iodine-Facility,iPeople MT56,Iodine-Facility,nuras_ipl_in_diveflipl3_cocuh,nuras,ipl,ippl,iPeople,in,diveflipl3_cocuh,,13777,*default*,nuras_iodn_out,nuras,iodn,iodn,Iodine Software,out,,10.65.70.48,53917,4
