Starting_Logical_Site_Name,logical_site_name,ob_product_name,ib_product_name,Vendor,ib_threadname,ib_datatype,ib_product_mnem,ib_vendor_mnem,ib_vendor_name,ib_thread_type,ib_name_suffix,ib_thread_ip,ib_thread_port,trxid,ob_threadname,ob_datatype,ob_product_mnem,ob_vendor_mnem,ob_vendor_name,ob_thread_type,ob_name_suffix,ob_thread_ip,ob_thread_port,route_length
cpcs_kn_lab,div_efl_vntg,VANTAGE,HCA 5.6,VANTAGE,pthord_mt_in_cpcsknlab,pthord,mt,mt,Meditech,in,cpcsknlab,,10126,*default*,pthord_vntg_out,pthord,vntg,vntms,Ventana Medical Systems,out,,10.159.47.97,55550,4
cpcs_kn_iplmu,cpcs_kn_iplmu,Waterpark,HCA 5.6,Waterpark,imqr_mt_in,imqr,mt,mt,Meditech,in,,,17154,*default*,multi_wp_out,multi,wp,hcaeis,HCA D&IS,out,,waterpark.app.medcity.net,9001,2
cpcs_kn_rad,cpcs_kn_rad,EIS Biztalk Platform,HCA 5.6,EIS Biztalk Platform,radrslt_mt_in_1,radrslt,mt,mt,Meditech,in,1,,10826,*default*,radrslt_bti_out,radrslt,bti,hcaeis,HCA D&IS,out,,xrdcwpintbzt17c.hca.corpad.net,16002,4
cpcs_kn_rad,cpcs_kn_rad,MPF-Patient Folder/HPF Facility,HCA 5.6,MPF-Patient Folder/HPF Facility,radrslt_mt_in_1,radrslt,mt,mt,Meditech,in,1,,10826,*default*,radrslt_hpf_out_cpcsknoe,radrslt,hpf,mcksn,McKesson,out,cpcsknoe,orclvp01.unix.medcity.net,12629,6
cpcs_kn_rad,cpcs_kn_oe,MPF-Patient Folder/HPF Facility,HCA 5.6,MPF-Patient Folder/HPF Facility,radrslt_mt_in_cpcsknrad,radrslt,mt,mt,Meditech,in,cpcsknrad,,12629,*default*,multi_hpf_out,multi,hpf,mcksn,McKesson,out,,ORDCWPAPPHPF11B.hca.corpad.net,6607,6
cpcs_kn_rad,div_efl_e2_rad,Envision Healthcare,HCA 5.6,Envision Healthcare,radrslt_mt_in_cpcskn,radrslt,mt,mt,Meditech,in,cpcskn,,15609,*default*,radrslt_e2_out,radrslt,e2,envsnhc,Envision Healthcare,out,,10.129.89.77,39750,6
cpcs_kn_rad,cpcs_kn_rad,Envision Healthcare,HCA 5.6,Envision Healthcare,radrslt_mt_in_1,radrslt,mt,mt,Meditech,in,1,,10826,*default*,radrslt_e2_out_divefle2rad,radrslt,e2,envsnhc,Envision Healthcare,out,divefle2rad,orclvp01.unix.medcity.net,15609,6
cpcs_kn_rad,cpcs_kn_rad,Cloudera Kafka,HCA 5.6,Cloudera Kafka,radrslt_mt_in_1,radrslt,mt,mt,Meditech,in,1,,10826,*default*,radrslt_kfka_out_hl7cliresults,radrslt,kfka,hca,HCA,out,hl7cliresults,intserv.cloverleaf.hl7-cli-results.1.0.0,,4
cpcs_kn_rad,cpcs_kn_rad,Waterpark,HCA 5.6,Waterpark,radrslt_mt_in_1,radrslt,mt,mt,Meditech,in,1,,10826,*default*,multi_wp_out,multi,wp,hcaeis,HCA D&IS,out,,waterpark.app.medcity.net,9001,4
cpcs_kn_rad,cpcs_kn_rad,Healthcare Data Engine - HDE,HCA 5.6,Healthcare Data Engine - HDE,radrslt_mt_in_1,radrslt,mt,mt,Meditech,in,1,,10826,*default*,multi_hde_out,multi,hde,gcp,Google,out,,172.21.148.6,2575,4
